id_data,id_loja,des_estabelecimento,id_produto,qtd_estoque
20191130,7,GLICERIO,22582,1
20191130,8,CAMPINAS,16102,2
20191130,8,CAMPINAS,32871,2
20191130,15,ATIBAIA,32293,1
20191130,27,SALTO,34324,1
20191130,23,BRAGANÇA,16171,4
20191130,7,GLICERIO,19325,1
20191130,20,SOROCABA,20658,1
20191130,20,SOROCABA,11575,1
20191130,20,SOROCABA,22116,2
20191130,4,INDAIATUBA,17291,1
20191130,4,INDAIATUBA,17061,1
20191130,23,BRAGANÇA,21419,1
20191130,23,BRAGANÇA,28933,6
20191130,8,CAMPINAS,20459,2
20191130,23,BRAGANÇA,24441,1
20191130,8,CAMPINAS,2088,6
20191130,23,BRAGANÇA,22759,2
20191130,7,GLICERIO,4836,4
20191130,27,SALTO,21197,2
20191130,16,VALINHOS,15015,1
20191130,23,BRAGANÇA,15291,3
20191130,27,SALTO,235,2
20191130,6,ITATIBA,14615,1
20191130,23,BRAGANÇA,18855,1
20191130,6,ITATIBA,34372,1
20191130,7,GLICERIO,22733,2
20191130,8,CAMPINAS,26355,2
20191130,8,CAMPINAS,7375,5
20191130,4,INDAIATUBA,22233,1
20191130,16,VALINHOS,34269,1
